Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2004','Tennessee','Lung and Bronchus','83.6','81.3','85.9','5163','5910809'
'2004','Texas','Lung and Bronchus','68.3','67.1','69.5','12791','22394023'
'2004','Virginia','Lung and Bronchus','70.6','68.7','72.6','5086','7475575'
'2004','Washington','Lung and Bronchus','68.5','66.4','70.6','4052','6178645'
'2004','New Hampshire','Lung and Bronchus','75.2','70.6','80.1','986','1290121'
'2004','Nevada','Lung and Bronchus','77','73.3','80.8','1726','2346222'
'2004','Arkansas','Lung and Bronchus','82.5','79.3','85.8','2526','2749686'
'2004','Alabama','Lung and Bronchus','77.8','75.3','80.3','3804','4530729'
'2004','Alaska','Lung and Bronchus','79.1','70.1','88.8','328','659286'
'2004','Delaware','Lung and Bronchus','82','76.2','88.2','732','830803'
'2004','Georgia','Lung and Bronchus','74','72','76','5499','8769252'
'2004','Florida','Lung and Bronchus','74.4','73.3','75.6','16582','17415318'
'2004','Illinois','Lung and Bronchus','71.9','70.4','73.4','8881','12589773'
'2004','Iowa','Lung and Bronchus','67.7','64.9','70.5','2284','2953635'
'2004','Indiana','Lung and Bronchus','79.5','77.4','81.8','5014','6233007'
'2004','Kentucky','Lung and Bronchus','103','100','106.1','4466','4146101'
'2004','Maryland','Lung and Bronchus','69.3','67.1','71.6','3730','5546935'
'2004','Maine','Lung and Bronchus','82','77.5','86.6','1268','1313688'
'2004','Louisiana','Lung and Bronchus','81.1','78.5','83.8','3582','4552238'
'2004','Michigan','Lung and Bronchus','74.7','73','76.4','7679','10055315'
'2004','Massachusetts','Lung and Bronchus','72.1','70.1','74.2','4958','6412281'
'2004','Missouri','Lung and Bronchus','80.7','78.4','82.9','4982','5747741'
'2004','Mississippi','Lung and Bronchus','80.8','77.6','84.2','2335','2889010'
'2004','North Dakota','Lung and Bronchus','58','52.5','63.8','421','644705'
'2004','California','Lung and Bronchus','55.5','54.7','56.3','17439','35574576'
'2004','Hawaii','Lung and Bronchus','55.7','51.8','59.8','774','1273569'
'2004','Minnesota','Lung and Bronchus','58.3','56.2','60.5','2914','5087713'
'2004','Wisconsin','Lung and Bronchus','63.7','61.7','65.8','3693','5514026'
'2004','New York','Lung and Bronchus','65','63.8','66.1','13126','19171567'
'2004','South Dakota','Lung and Bronchus','61.6','56.4','67.2','523','770396'
'2004','Vermont','Lung and Bronchus','65.4','59.4','71.8','441','619920'
'2004','New Jersey','Lung and Bronchus','63.3','61.6','64.9','5783','8634561'
'2005','Utah','Lung and Bronchus','31.4','28.8','34.1','560','2457719'
'2005','New Mexico','Lung and Bronchus','48.8','45.7','52','957','1932274'
'2005','Colorado','Lung and Bronchus','50.1','47.9','52.4','1995','4631888'
'2005','Hawaii','Lung and Bronchus','54.3','50.5','58.3','774','1292729'
'2005','Minnesota','Lung and Bronchus','57.5','55.4','59.6','2923','5119598'
'2005','Wyoming','Lung and Bronchus','54.9','48.7','61.6','291','514157'
'2005','Delaware','Lung and Bronchus','84.9','79','91.1','783','845150'
'2005','Connecticut','Lung and Bronchus','67.7','65.1','70.3','2622','3506956'
'2005','Florida','Lung and Bronchus','73','71.9','74.2','16691','17842038'
'2005','Georgia','Lung and Bronchus','73.7','71.7','75.7','5650','8925922'
'2005','Iowa','Lung and Bronchus','70.8','68','73.7','2420','2964454'
'2005','Indiana','Lung and Bronchus','80.8','78.6','83.1','5170','6278616'
'2005','Illinois','Lung and Bronchus','72.4','71','74','9054','12609903'
'2005','Louisiana','Lung and Bronchus','78.2','75.5','80.8','3417','4411396'
'2005','Kentucky','Lung and Bronchus','101','98','104','4460','4182742'
'2005','Maine','Lung and Bronchus','80.4','76','85','1264','1318787'
'2005','Massachusetts','Lung and Bronchus','74.9','72.8','76.9','5183','6403290'
'2005','Maryland','Lung and Bronchus','69.1','66.9','71.4','3761','5592379'
'2005','Michigan','Lung and Bronchus','75.8','74.1','77.5','7878','10051137'
'2005','Mississippi','Lung and Bronchus','77.7','74.5','81','2272','2876229'
'2005','Montana','Lung and Bronchus','70.6','65.6','75.9','744','940102'
'2005','Missouri','Lung and Bronchus','83.8','81.5','86.1','5252','5790300'
'2005','New Hampshire','Lung and Bronchus','76.4','71.8','81.2','1032','1298492'
'2005','Nevada','Lung and Bronchus','71.5','68.1','75.2','1636','2432143'
'2005','North Carolina','Lung and Bronchus','78.4','76.6','80.3','6981','8705407'
